# X_in, Y_in, X_out, Y_out [mm]
1425.488006	-2299.832231	1414.607486	-2635.662338
1574.222632	-2290.900999	1585.153068	-2628.271775
1719.957096	-2256.6744	1753.123909	-2596.953021
1858.996148	-2197.464938	1915.315141	-2542.201261
1987.612437	-2113.816681	2068.598108	-2464.892348
2102.054458	-2006.620838	2209.959975	-2366.265149
2203.217014	-1889.644634	2333.959858	-2250.674515
2293.521339	-1771.971435	2449.172698	-2119.54843
2373.619172	-1654.511995	2550.584398	-1989.659274
2444.208666	-1538.011826	2641.344809	-1859.124871
2506.007729	-1423.060523	2722.067149	-1728.690017
2559.73163	-1310.104912	2793.386839	-1598.963741
2606.075082	-1199.464595	2855.942695	-1470.429343
2645.698691	-1091.348635	2910.361481	-1343.456258
2679.219395	-985.8723071	2957.245724	-1218.312903
2707.204354	-883.0731169	2997.164557	-1095.179758
2730.167679	-782.9255174	3030.660199	-974.1703901
2748.569386	-685.3540089	3058.207314	-855.317807
2762.815975	-590.2444748	3080.243699	-738.6112711
2773.262152	-497.4537559	3097.160323	-623.9982868
2780.213256	-406.8175624	3109.300809	-511.3927924
2783.928048	-318.1568838	3116.962288	-400.6826424
2784.581423	-231.2758532	3120.396737	-291.7359935
2782.43038	-145.9976146	3120.396737	-184.4732173
2777.568446	-62.11484828	3115.419347	-78.54101904
2770.095593	20.56944231	3107.258192	26.02985543
2760.07774	102.250635	3095.458186	129.4655142
2747.548275	183.1210792	3080.069123	231.9300734
2732.509151	263.3689424	3061.10427	333.5848504
2714.93158	343.1771845	3038.54114	434.5859682
2694.756316	422.7225389	3012.322003	535.0819982
2671.893557	502.1743854	2982.354161	635.2115217
2646.222493	581.6933986	2948.510024	735.1004919
2617.590546	661.4298564	2910.627042	834.8592832
2585.812348	741.5214833	2868.507564	934.5793137
2550.668558	822.090703	2821.918732	1034.329134
2511.904593	903.2411622	2770.592533	1134.149883
2469.229434	985.0533891	2714.226163	1234.050015
2422.314669	1067.579448	2652.482907	1333.999237
2370.794025	1150.836468	2584.993747	1433.921612
2314.263643	1234.798941	2511.359984	1533.687827
2252.283482	1319.389752	2431.157149	1633.106706
2184.380229	1404.469949	2343.94054	1731.916086
2110.052184	1489.8274	2247.835377	1826.312019
2027.828588	1572.340562	2141.177853	1909.994966
1935.63172	1643.530241	2025.232927	1981.573333
1834.928791	1701.796985	1901.469245	2039.893762
1727.490986	1746.171426	1771.504484	2084.00949
1615.196306	1775.915982	1637.074385	2113.197904
1500	1790.537451	1500	2126.973834
1383.903391	1789.795451	1362.153677	2125.098422
1268.92174	1773.706566	1225.424302	2107.583458
1157.051803	1742.54416	1091.682322	2074.691136
1050.077955	1697.444086	962.7451029	2026.929238
946.2833915	1649.457993	840.3431339	1965.041816
850.3858926	1586.442802	726.0876168	1889.995485
773.0885209	1491.751639	622.5892751	1800.602858
718.5532764	1370.537601	534.7262297	1692.942023
699.0035493	1214.679764	465.7753288	1568.361231
699.0035493	1058.592388	419.217963	1428.35544
699.0035493	927.1535814	407.13	1264.997284
699.0035493	814.0737797	407.13	1110.712552
699.0035493	714.9814022	407.13	975.5120942
699.0035493	626.7359294	407.13	855.1110241
699.0035493	547.0154004	407.13	746.3412854
699.0035493	474.0582044	407.13	646.7993578
699.0035493	406.4955542	407.13	554.6176839
699.0035493	343.2392796	407.13	468.3115777
699.0035493	283.4044473	407.13	386.6736464
699.0035493	226.254475	407.13	308.6989061
699.0035493	171.1610725	407.13	233.530125
699.0035493	117.574075	407.13	160.4166651
699.0035493	64.99789107	407.13	88.68234703
699.0035493	12.97229152	407.13	17.69923976
699.0035493	-38.9441154	407.13	-53.13488638
699.0035493	-91.18902116	407.13	-124.4172124
699.0035493	-144.2112849	407.13	-196.7601564
699.0035493	-198.486617	407.13	-270.8127719
699.0035493	-254.5352674	407.13	-347.2848818
699.0035493	-312.943169	407.13	-426.9759258
699.0035493	-374.388461	407.13	-510.8111491
699.0035493	-439.6761083	407.13	-599.888836
699.0035493	-509.784618	407.13	-695.5440502
699.0035493	-585.930982	407.13	-799.4372406
699.0035493	-669.6635266	407.13	-913.6809254
699.0035493	-762.9984998	407.13	-1041.026049
699.0035493	-868.6271836	407.13	-1185.144565
699.0035493	-990.2406942	407.13	-1351.072588
699.0035493	-1133.059315	407.13	-1545.93261
699.0035493	-1304.734915	407.13	-1780.16475
699.0035493	-1516.974762	439.5227382	-2008.394969
700.6779922	-1784.924608	522.6169852	-2182.543428
762.4456871	-1981.913865	635.9087771	-2321.936629
867.051081	-2109.59071	771.0026099	-2429.716009
996.9201856	-2180.868293	919.801214	-2515.181687
1133.73246	-2241.974132	1078.73286	-2578.634267
1277.434504	-2283.435571	1244.725209	-2619.020234
1425.488006	-2299.832231	1414.607486	-2635.662338
